event_id,telegraph_ts,source,telegraph_text
TRT084,2026-05-06,Trump (Truth Social),"Lilly commits additional $4.5 billion across Indiana manufacturing sites, opens first dedicated genetic medicine facility: https://investor.lilly.com/news-releases/news-release-details/lilly-commits-additional-45-billion-across-indiana-manufacturing"
TRT085,2026-05-07,Trump (Truth Social),"Three World Class American Destroyers just transited, very successfully, out of the Strait of Hormuz, under fire. There was no damage done to the three Destroyers, but great damage done to the Iranian attackers. They were completely destroyed along with numerous small boats, which are being used to take the place of their fully decapitated Navy. These boats went to the bottom of the Sea, quickly and efficiently. Missiles were shot at our Destroyers, and were easily knocked down. Likewise, drones came, and were incinerated while in the air. They dropped ever so beautifully down to the Ocean, very much like a butterfly dropping to its grave! A normal Country would have allowed these Destroyers to pass, but Iran is not a normal Country. They are led by LUNATICS, and if they had the chance to use a Nuclear Weapon, they would do it, without question — But they'll never have that opportunity and, just like we knocked them out again today, we'll knock them out a lot harder, and a lot more violently, in the future, if they don't get their Deal signed, FAST! Our three Destroyers, with their wonderful Crews, will now rejoin our Naval Blockade, which is truly a ""Wall of Steel."" President DONALD J. TRUMP"
TRT086,2026-05-08,Trump (Truth Social),"I am pleased to announce that there will be a THREE DAY CEASEFIRE (May 9th, 10th, and 11th) in the War between Russia and Ukraine. The Celebration in Russia is for Victory Day but, likewise, in Ukraine, because they were also a big part and factor of World War II. This Ceasefire will include a suspension of all kinetic activity, and also a prison swap of 1,000 prisoners from each Country. This request was made directly by me, and I very much appreciate its agreement by President Vladimir Putin and President Volodymyr Zelenskyy. Hopefully, it is the beginning of the end of a very long, deadly, and hard fought War. Talks are continuing on ending this Major Conflict, the biggest since World War II, and we are getting closer and closer every day. Thank you for your attention to this matter! President DONALD J. TRUMP"
TRT087,2026-05-10,Trump (Truth Social),"ALL FEDERAL AGENCIES MUST BUY AMERICAN — NO EXCUSES! For decades, Washington politicians sent your Taxpayer Dollars overseas, and let Foreign Countries rip us off while our Workers, Factories, and Supply Chains were left behind. That betrayal is OVER. My Administration is strengthening MADE IN AMERICA Laws, ENDING Waiver Loopholes, and STOPPING the Federal Government from buying Foreign Products when Great American Products are available — And to the D.C. Bureaucrats: NO MORE handing out Waivers like candy! No more rubber-stamping exceptions for Foreign Products while American Workers get shafted. We are putting American Workers, American Factories, and American Supply Chains FIRST — Bigger, better, and stronger than ever before! I already signed EO 14392 to crack down on fake ""MADE IN AMERICA"" claims, and we are enforcing it HARD. No more games. No more fake labels. No more ripping off the American Taxpayer. AMERICA FIRST means BUY AMERICAN! President DONALD J. TRUMP"
TRT088,2026-05-18,Trump (Truth Social),"I have been asked by the Emir of Qatar, Tamim bin Hamad Al Thani, the Crown Prince of Saudi Arabia, Mohammed bin Salman Al Saud, and the President of the United Arab Emirates, Mohamed bin Zayed Al Nahyan, to hold off on our planned Military attack of the Islamic Republic of Iran, which was scheduled for tomorrow, in that serious negotiations are now taking place, and that, in their opinion, as Great Leaders and Allies, a Deal will be made, which will be very acceptable to the United States of America, as well as all Countries in the Middle East, and beyond. This Deal will include, importantly, NO NUCLEAR WEAPONS FOR IRAN! Based on my respect for the above mentioned Leaders, I have instructed Secretary of War, Pete Hegseth, The Chairman of The Joint Chiefs of Staff, General Daniel Caine, and The United States Military, that we will NOT be doing the scheduled attack of Iran tomorrow, but have further instructed them to be prepared to go forward with a full, large scale assault of Iran, on a moment's notice, in the event that an acceptable Deal is not reached. Thank you for your attention to this matter! President DONALD J. TRUMP"
TRT089,2026-05-21,Trump (Truth Social),"Based on the successful Election of the now President of Poland, Karol Nawrocki, who I was proud to Endorse, and our relationship with him, I am pleased to announce that the United States will be sending an additional 5,000 Troops to Poland. Thank you for your attention to this matter! President DONALD J. TRUMP"
TRT090,2026-05-29,Trump (Truth Social),"Iran must agree that they will never have a Nuclear Weapon or Bomb. The Hormuz Strait must be immediately open, no tolls, for unrestricted shipping traffic, in both directions. All water mines (bombs), if any, will be terminated (we have removed, through detonation, numerous such mines with our great underwater mine sweepers. Iran will complete the immediate removal and/or detonation of any mines that are left, which will not be many!). Ships caught in the Strait due to our amazing and unprecedented Naval Blockade, which will now be lifted, may start the process of ""heading home!"" Say HELLO to your wives, husbands, parents, and families from me, your favorite President! The enriched material, sometimes referred to as ""Nuclear Dust,"" which is buried deep underground with virtually collapsed mountains, caused by our powerful B2 Bomber attack 11 months ago, sitting on top of it, will be unearthed by the United States (which, it is agreed, is the only Country, along with China, with the mechanical capability of doing so!), in close coordination and conjunction with the Islamic Republic of Iran, plus the International Atomic Energy Agency, and DESTROYED. No money will be exchanged, until further notice. Other items, of far less importance, have been agreed to. I will be meeting now, in the Situation Room, to make a final determination. Thank you for your attention to this matter! President DONALD J. TRUMP"
TRT091,2026-06-01,Trump (Truth Social),"I had a very productive call with Prime Minister Bibi Netanyahu, of Israel, and there will be no Troops going to Beirut, and any Troops that are on their way, have already been turned back. Likewise, through highly placed Representatives, I had a very good call with Hezbollah, and they agreed that all shooting will stop — That Israel will not attack them, and they will not attack Israel. President DONALD J. TRUMP"
TRT092,2026-06-05,Trump (Truth Social),"I am pleased to announce that TrumpRx.gov is adding another 160 Prescription Drugs, at highly discounted prices, for a new total of over 800 of the most commonly-used Prescription Drugs. TrumpRx.gov will now provide clear, transparent, and DISCOUNTED offerings for FOUR OUT OF FIVE of every prescription filled by Americans. I was proud to make History during my First Term when we lowered Drug Prices, even if by a tiny percentage, because this amounted to a HUGE change compared to other presidents only raising Drug Prices, endlessly and significantly, every year. Then, during my Second Term, I decided to go BIG with Most Favored Nations Pricing — That is to say, we pay no more or, ideally, less than any other Country for the same exact Drug. Now we are cutting Prices, and cutting them by a LOT, sometimes by 400 or 500 or 600 Percent! These Most Favored Nations Deals have already, in fact, saved American Patients over 400 Million Dollars since the launch of TrumpRx.gov. Of course, Most Favored Nations would not be possible without my use of TARIFFS, which are getting other Countries to ""pay up"" instead of relying on American Patients getting ripped off, as they were for decades until I ordered an immediate ""stop"" to this very unfair and, frankly, foolish situation. This is all great news, and I have instructed my Administration to secure more Most Favored Nations Deals, more Partnerships, and Lower Prices for every American Patient. Before filling out a Prescription, make sure you ""CHECK OUT"" – TRUMPRX.GOV. Thank you for your attention to this matter! President DONALD J. TRUMPHTTPS://TRUMPRX.GOV"
TRT093,2026-06-08,Trump (Truth Social),"Both sides, Israel and Iran, are looking to do an immediate CEASEFIRE! Final negotiations on ""Peace"" are proceeding, subject to ignorance or stupidity getting in its way. The Blockade will remain in place, and in full force and effect, until a ""Final Deal"" is reached. Things should move quickly. Thank you for your attention to this matter! President DONALD J. TRUMP"
TRT094,2026-06-09,Trump (Truth Social),"I have just been informed by our Great Military that last night the Iranians shot down one of our highly sophisticated Apache Helicopters while patrolling over the Strait of Hormuz. There were two pilots involved, both are safe and uninjured. Nevertheless, the United States must, of necessity, respond to this attack. Thank you for your attention to this matter! President DONALD J. TRUMP"
TRT095,2026-06-10,Trump (Truth Social),"The Fake News Media refuses to report how EFFECTIVE the U.S. Naval BLOCKADE is, the most successful Blockade in the history of Naval Warfare. NOTHING GETS THROUGH unless we want it to. IT IS A STEEL WALL! Iran is doing ZERO business, not paying their military, or any of their bills, and quickly becoming a FAILED NATION! Lots of oil is getting out. Praise be to Allah! President DONALD J. TRUMP"
TRT096,2026-06-11,Trump (Truth Social),"The United States will be hitting Iran (Whose Navy, Air Force, Radar, Anti Aircraft, and all other forms of Defense, together with most of its offensive capability, are GONE!), VERY HARD TONIGHT. At some point in the not too distant future, we will be taking Kharg Island, and other oil infrastructure points, and assume total control of their Oil and Gas Markets, much like we have with Venezuela, which is working out brilliantly for both Venezuela and the United States of America. Thank you for your attention to this matter! President DONALD J. TRUMP"
TRT097,2026-06-11,Trump (Truth Social),"Based on the fact that discussions with the Islamic Republic of Iran have been brought to the highest level of Iranian leadership and approved, I have, as President of the United States of America, cancelled the scheduled strikes and bombings against Iran this evening. Discussions and final points have been, in both concept and great detail, approved by all parties involved, including the United States, Israel, Saudi Arabia, UAE, Qatar, Turkey, Pakistan, Bahrain, Kuwait, Jordan, Egypt, and others. The Naval Blockade will remain in full force and effect until this Transaction is finalized — Time and place of the signing to be announced shortly.DONALD J. TRUMPPRESIDENT OF THE UNITED STATES OF AMERICA"
TRT098,2026-06-14,Trump (Truth Social),"The Deal with the Islamic Republic of Iran is now complete. Congratulations to all! I hereby fully authorize the toll free opening of the Strait of Hormuz, and, simultaneously herewith, authorize the immediate removal of the United States Naval blockade. Ships of the World, start your engines. Let the oil flow! President DONALD J. TRUMP"
TRT099,2026-06-15,Trump (Truth Social),"Ships are starting to move, many loaded up with Oil, out of the Strait of Hormuz. They are going along the Southern ""Highway,"" which is totally safe, secure, and pristine. There are other areas of travel, also!!! President DJT"
