event_id,telegraph_ts,source,telegraph_text,mapped_tickers,direction,mechanism,horizon_days,chain_depth,audience_breadth,polymarket_query,confidence,rationale
TRT053,2026-03-30T02:29:30+0000,Trump (Truth Social),"Big day in Iran. Many long sought after targets have been taken out and destroyed by our GREAT MILITARY, the finest and most lethal in the World. God bless you all! President DJT",USO;XLE;ITA;BNO,long,Trump announces US military strikes inside Iran -> Middle East escalation and Strait of Hormuz supply risk -> crude oil and defense stocks bid as safe-haven/geopolitical premium.,10,2,megaphone,US military strike on Iran in 2026,medium,"A direct US strike on Iran announced by the President historically lifts oil (Hormuz chokepoint, ~20% of seaborne crude) and defense names on conflict-escalation premium. Long oil (USO/BNO) and defense/aerospace (ITA) and energy (XLE) most cleanly express the geopolitical risk spike. Short horizon because such premia typically fade unless sustained conflict materializes — magnitude and persistence unknown."
TRT054,2026-03-30T11:26:45+0000,Trump (Truth Social),"The United States of America is in serious discussions with A NEW, AND MORE REASONABLE, REGIME to end our Military Operations in Iran. Great progress has been made but, if for any reason a deal is not shortly reached, which it probably will be, and if the Hormuz Strait is not immediately ""Open for Business,"" we will conclude our lovely ""stay"" in Iran by blowing up and completely obliterating all of their Electric Generating Plants, Oil Wells and Kharg Island (and possibly all desalinization plants!), which we have purposefully not yet ""touched."" This will be in retribution for our many soldiers, and others, that Iran has butchered and killed over the old Regime's 47 year ""Reign of Terror."" Thank you for your attention to this matter. President DONALD J. TRUMP",USO;BNO;XLE,long,"Trump publicly threatens to obliterate Iran's oil wells, Kharg Island export terminal and warns Hormuz must stay open -> credible risk of removing major Iranian/Gulf crude supply -> oil price and energy equities bid on supply-disruption premium.",14,2,megaphone,US-Iran ceasefire deal by April 2026,medium,"Pre-catalyst, an active US military operation in Iran is already underway. Trump explicitly threatens to destroy Kharg Island (handles the bulk of Iran's crude exports), oil wells and generating plants, and conditions everything on Hormuz staying 'Open for Business' — the world's most critical oil chokepoint. Even with de-escalation/'deal' language, the concrete, near-term threat to physically remove Gulf crude supply and the Hormuz risk premium dominate the tradeable signal, which is bullish for oil. USO/BNO express crude directly; XLE captures the energy-equity beta. Top-of-feed Trump Truth Social post = megaphone reach, short fuse ('shortly', 'immediately') justifies a near-term horizon."
TRT055,2026-03-31T11:11:14+0000,Trump (Truth Social),"All of those countries that can't get jet fuel because of the Strait of Hormuz, like the United Kingdom, which refused to get involved in the decapitation of Iran, I have a suggestion for you: Number 1, buy from the U.S., we have plenty, and Number 2, build up some delayed courage, go to the Strait, and just TAKE IT. You'll have to start learning how to fight for yourself, the U.S.A. won't be there to help you anymore, just like you weren't there for us. Iran has been, essentially, decimated. The hard part is done. Go get your own oil! President DJT",USO;BNO;XLE,long,Trump confirms Strait of Hormuz is choked off amid an active Iran war -> Gulf crude/jet-fuel export disruption -> global oil supply shock -> long crude and US energy producers.,21,2,megaphone,Strait of Hormuz blocked or US-Iran war in 2026,medium,"Telegraph explicitly states countries 'can't get jet fuel because of the Strait of Hormuz' and that Iran has been 'decimated,' signaling an ongoing supply-disrupting conflict at the world's most critical oil chokepoint; a confirmed Hormuz disruption historically drives crude prices higher (USO/BNO) and lifts US E&P names (XLE), with Trump urging allies to 'buy from the U.S.' reinforcing tighter global supply. Mapped from pre-stated geopolitical fact in the text only; horizon kept short to capture the acute geopolitical risk premium."
TRT056,2026-04-01T12:44:52+0000,Trump (Truth Social),"Iran's New Regime President, much less Radicalized and far more intelligent than his predecessors, has just asked the United States of America for a CEASEFIRE! We will consider when Hormuz Strait is open, free, and clear. Until then, we are blasting Iran into oblivion or, as they say, back to the Stone Ages!!! President DJT",USO;BNO;XLE,long,Trump declares ongoing US bombing of Iran conditioned on reopening the Strait of Hormuz -> active Persian Gulf conflict threatens ~20% of global seaborne oil transit -> crude supply risk premium spikes -> oil ETFs and energy equities rise.,21,2,megaphone,US-Iran ceasefire by May 2026,medium,"Telegraph confirms an active, escalating US-Iran military conflict with explicit linkage to the Strait of Hormuz, the world's most critical oil chokepoint. Threat to Hormuz traffic is the cleanest tradeable read: crude carries a geopolitical risk premium when the strait is contested. Long oil (USO, BNO) and US energy producers (XLE) most directly expresses supply-disruption fear. Ceasefire conditioned on Hormuz being 'open, free, and clear' implies continued strikes near the strait. Short horizon because geopolitical risk premia mean-revert quickly once a ceasefire firms up."
TRT057,2026-04-02T16:37:55+0000,Trump (Truth Social),"The biggest bridge in Iran comes tumbling down, never to be used again — Much more to follow! IT IS TIME FOR IRAN TO MAKE A DEAL BEFORE IT IS TOO LATE, AND THERE IS NOTHING LEFT OF WHAT STILL COULD BECOME A GREAT COUNTRY! President DONALD J. TRUMP",USO;BNO;ITA,long,Trump signals active US/allied military strikes inside Iran -> Persian Gulf / Strait of Hormuz supply-risk premium -> crude oil and defense names bid up.,14,2,megaphone,US military strike on Iran 2026,medium,A top Trump Truth Social post declaring strikes on Iranian infrastructure ('biggest bridge... much more to follow') signals open military escalation against a major OPEC producer adjacent to the Strait of Hormuz. The cleanest direct expression is a geopolitical risk premium on crude (USO/BNO) plus defense procurement exposure (ITA). Direction long on a near-term conflict-risk spike; horizon kept short as such premiums fade quickly if no broader supply disruption follows.
TRT058,2026-04-04T20:37:34+0000,Trump (Truth Social),"Many of Iran's Military Leaders, who have led them poorly and unwisely, are terminated, along with much else, with this massive strike in Tehran! President DONALD J. TRUMP",USO;BNO;ITA,long,Trump announces a massive US strike on Tehran killing Iranian military leaders -> Middle East war escalation and Strait of Hormuz supply risk -> crude oil and defense names bid.,21,2,megaphone,US-Iran military conflict 2026,high,"Pre-telegraph, a confirmed US strike inside Tehran killing Iranian commanders is a top-tier geopolitical shock; the cleanest reflexes are an oil risk premium (USO/BNO) on Hormuz/supply fears and a defense bid (ITA) on conflict escalation. Trump's own megaphone post broadcasts it instantly. Short horizon because geopolitical spikes typically fade once retaliation scope clarifies."
TRT059,2026-04-05T12:03:26+0000,Trump (Truth Social),"Tuesday will be Power Plant Day, and Bridge Day, all wrapped up in one, in Iran. There will be nothing like it!!! Open the Fuckin' Strait, you crazy bastards, or you'll be living in Hell - JUST WATCH! Praise be to Allah. President DONALD J. TRUMP",USO;BNO;XLE,long,"Trump publicly threatens imminent military strikes on Iran (power plants, bridges) over the Strait of Hormuz -> elevated Gulf supply-disruption risk -> crude oil and energy equities bid higher.",14,2,megaphone,US military strike on Iran in 2026,high,"Top Trump Truth Social post explicitly threatens to attack Iranian infrastructure ('Power Plant Day, Bridge Day') and references opening the Strait (of Hormuz), the chokepoint for ~20% of seaborne oil. Pre-catalyst, any credible threat of Iran/Hormuz conflict reliably spikes a geopolitical risk premium into crude (USO, BNO) and lifts energy producers (XLE). Direct, loud signal whose premise resolves on whether US strikes actually occur."
TRT060,2026-04-07T22:32:26+0000,Trump (Truth Social),"Based on conversations with Prime Minister Shehbaz Sharif and Field Marshal Asim Munir, of Pakistan, and wherein they requested that I hold off the destructive force being sent tonight to Iran, and subject to the Islamic Republic of Iran agreeing to the COMPLETE, IMMEDIATE, and SAFE OPENING of the Strait of Hormuz, I agree to suspend the bombing and attack of Iran for a period of two weeks. This will be a double sided CEASEFIRE! The reason for doing so is that we have already met and exceeded all Military objectives, and are very far along with a definitive Agreement concerning Longterm PEACE with Iran, and PEACE in the Middle East. We received a 10 point proposal from Iran, and believe it is a workable basis on which to negotiate. Almost all of the various points of past contention have been agreed to between the United States and Iran, but a two week period will allow the Agreement to be finalized and consummated. On behalf of the United States of America, as President, and also representing the Countries of the Middle East, it is an Honor to have this Longterm problem close to resolution. Thank you for your attention to this matter! President DONALD J. TRUMP",USO;BNO,short,Trump announces Iran ceasefire and demands COMPLETE/IMMEDIATE opening of the Strait of Hormuz -> Gulf oil-transit risk premium collapses and crude supply normalizes -> oil price falls -> short crude oil ETFs.,14,2,megaphone,US-Iran ceasefire holds April 2026,medium,"Pre-catalyst context implies an active US-Iran military conflict with Strait of Hormuz disruption that had bid up a war/oil risk premium. A presidentially announced two-week ceasefire conditioned on reopening Hormuz removes the immediate supply-shock fear, which most directly deflates the crude oil risk premium. USO/BNO are the cleanest liquid US-listed expressions. Horizon matches the explicitly stated two-week suspension window. Top Trump Truth Social post = instant broad market read, hence megaphone."
TRT061,2026-04-08T11:22:43+0000,Trump (Truth Social),"The United States will work closely with Iran, which we have determined has gone through what will be a very productive Regime Change! There will be no enrichment of Uranium, and the United States will, working with Iran, dig up and remove all of the deeply buried (B-2 Bombers) Nuclear ""Dust."" It is now, and has been, under very exacting Satellite Surveillance (Space Force!). Nothing has been touched from the date of attack. We are, and will be, talking Tariff and Sanctions relief with Iran. Many of the 15 points have already been been agreed to. Thank you for your attention to this matter. President DONALD J. TRUMP",USO,short,Trump declares Iran regime change plus sanctions/tariff relief talks -> Middle East de-escalation and prospective return of Iranian crude to global markets -> oil risk premium and supply outlook ease -> crude oil price falls.,30,2,megaphone,US-Iran sanctions relief or nuclear deal 2026,medium,"A top Trump Truth Social post announcing Iranian regime change, no uranium enrichment, and impending sanctions/tariff relief signals sharp Middle East de-escalation. Pre-2026-04-08 context: Iran sanctions had kept significant barrels off the market and conflict premium elevated oil; both an easing risk premium and the prospect of restored Iranian supply point lower for crude, with USO the cleanest liquid US-listed expression."
TRT062,2026-04-08T11:30:02+0000,Trump (Truth Social),"A Country supplying Military Weapons to Iran will be immediately tariffed, on any and all goods sold to the United States of America, 50%, effective immediately. There will be no exclusions or exemptions! President DJT",FXI;MCHI;KWEB,short,Trump threatens immediate 50% tariff on any country arming Iran -> the largest US-trading arms suppliers to Iran are China and Russia -> China-exposed equities face tariff/trade shock -> China ETFs fall.,21,3,megaphone,Trump new tariffs on China by 2026,low,"Top Trump Truth Social post the whole market reads instantly, so megaphone. The telegraph names no country, but the only weapons suppliers to Iran with material US trade exposure are China and (sanctioned, untradeable) Russia/North Korea; China is the cleanest liquid expression. A blanket 50% tariff with no exemptions would pressure China-listed and China-exposed names, so short China ETFs (FXI/MCHI/KWEB). Identifying the unnamed target adds a hop, hence chain_depth 3 and low confidence given ambiguity over whether/how the threat is applied."
TRT063,2026-04-09T03:46:41+0000,Trump (Truth Social),"All U.S. Ships, Aircraft, and Military Personnel, with additional Ammunition, Weaponry, and anything else that is appropriate and necessary for the lethal prosecution and destruction of an already substantially degraded Enemy, will remain in place in, and around, Iran, until such time as the REAL AGREEMENT reached is fully complied with. If for any reason it is not, which is highly unlikely, then the ""Shootin' Starts,"" bigger, and better, and stronger than anyone has ever seen before. It was agreed, a long time ago, and despite all of the fake rhetoric to the contrary - NO NUCLEAR WEAPONS and, the Strait of Hormuz WILL BE OPEN & SAFE. In the meantime our great Military is Loading Up and Resting, looking forward, actually, to its next Conquest. AMERICA IS BACK!",USO;BNO;ITA,long,Trump threatens continued US military buildup in/around Iran and renewed strikes if the deal fails -> elevated Strait of Hormuz/supply-disruption risk premium and defense spending tailwind -> long oil and defense.,21,2,megaphone,US military strikes Iran in 2026,medium,"A top Trump Truth Social post explicitly keeps US forces massed around Iran and warns the 'shootin starts' if compliance fails, naming the Strait of Hormuz directly. Such overt war-footing rhetoric over the world's key oil chokepoint typically sustains a geopolitical risk premium in crude (USO, BNO) regardless of the deal's nominal terms, while the 'Loading Up' military buildup language supports defense names (ITA). The message's reassurance that Hormuz 'will be open & safe' is offset by the explicit escalation threat, keeping net risk skewed to higher oil."
TRT064,2026-04-12T12:52:44+0000,Trump (Truth Social),"So, there you have it, the meeting went well, most points were agreed to, but the only point that really mattered, NUCLEAR, was not. Effective immediately, the United States Navy, the Finest in the World, will begin the process of BLOCKADING any and all Ships trying to enter, or leave, the Strait of Hormuz. At some point, we will reach an ""ALL BEING ALLOWED TO GO IN, ALL BEING ALLOWED TO GO OUT"" basis, but Iran has not allowed that to happen by merely saying, ""There may be a mine out there somewhere,"" that nobody knows about but them. THIS IS WORLD EXTORTION, and Leaders of Countries, especially the United States of America, will never be extorted. I have also instructed our Navy to seek and interdict every vessel in International Waters that has paid a toll to Iran. No one who pays an illegal toll will have safe passage on the high seas. We will also begin destroying the mines the Iranians laid in the Straits. Any Iranian who fires at us, or at peaceful vessels, will be BLOWN TO HELL! Iran knows, better than anyone, how to END this situation which has already devastated their Country. Their Navy is gone, their Air Force is gone, their Anti Aircraft and Radar are useless, Khomeini, and most of their ""Leaders,"" are dead, all because of their Nuclear ambition. The Blockade will begin shortly. Other Countries will be involved with this Blockade. Iran will not be allowed to profit off this Illegal Act of EXTORTION. They want money and, more importantly, they want Nuclear. Additionally and, at an appropriate moment, we are fully ""LOCKED AND LOADED,"" and our Military will finish up the little that is left of Iran! President DONALD J. TRUMP",USO;BNO;XLE;ITA,long,"Trump announces US Navy blockade of the Strait of Hormuz and threats to finish off Iran -> ~20% of seaborne global crude transit is disrupted and war-risk premium spikes -> crude oil, energy equities, and defense names rise.",21,2,megaphone,Strait of Hormuz blockaded or closed in 2026,high,"Pre-catalyst context: telegraph itself declares an active naval blockade of the Strait of Hormuz, the single most critical oil chokepoint (~20% of global oil flow), plus interdiction of tankers and continued strikes on Iran whose navy/air force are already described as destroyed. A blockade mechanically removes supply and injects a war-risk premium, the most direct expression being long crude (USO/BNO) and energy producers (XLE); ongoing US military action also lifts defense primes (ITA). Top Trump Truth Social post = instant market-wide read."
TRT065,2026-04-13T04:43:13+0000,Trump (Truth Social),The United States to Blockade Ships Entering or Exiting Iranian Ports on April 13 at 10:00 A.M. ET. Thank you for your attention to this matter! President DJT,USO;BNO;ITA;FRO,long,"Trump declares US naval blockade of Iranian ports -> Iranian oil exports cut and Strait of Hormuz transit risk spikes -> crude prices, tanker rates and defense demand rise.",14,2,megaphone,US military action against Iran in 2026,medium,"Pre-catalyst: Iran exports roughly 2-3M bpd and ~20% of seaborne oil transits the Strait of Hormuz; a US blockade announcement directly threatens that supply, lifting crude (USO/BNO) and tanker day-rates (FRO) on Hormuz risk premium while a military escalation supports defense names (ITA). Top Trump Truth Social post is read instantly by the whole market."
TRT066,2026-04-15T11:46:18+0000,Trump (Truth Social),"China is very happy that I am permanently opening the Strait of Hormuz. I am doing it for them, also - And the World. This situation will never happen again. They have agreed not to send weapons to Iran. President Xi will give me a big, fat, hug when I get there in a few weeks. We are working together smartly, and very well! Doesn't that beat fighting??? BUT REMEMBER, we are very good at fighting, if we have to - far better than anyone else!!! President DJT",USO;BNO,short,Trump declares Strait of Hormuz permanently open and Iran de-escalation with China cooperation -> removal of Gulf supply-disruption risk premium -> crude oil prices fall -> short oil ETFs.,14,2,megaphone,Strait of Hormuz reopened to shipping 2026,medium,"Pre-catalyst context: a Hormuz closure/Iran crisis had injected a geopolitical risk premium into crude. A top Trump Truth Social post claiming the strait is being 'permanently opened' plus China agreeing to halt weapons to Iran signals de-escalation and normalized Gulf oil transit, which removes the supply-shock premium and pressures crude lower. USO/BNO are the most direct liquid expressions of falling oil; horizon set to the 'few weeks' visit window he references. Direction and basket chosen without forecasting magnitude."
TRT067,2026-04-17T13:06:35+0000,Trump (Truth Social),IRAN HAS JUST ANNOUNCED THAT THE STRAIT OF IRAN IS FULLY OPEN AND READY FOR FULL PASSAGE. THANK YOU!,USO;BNO,short,Trump declares the Strait of Hormuz fully open -> geopolitical supply-disruption risk premium drains from crude -> oil-tracking ETFs fall.,14,2,megaphone,Strait of Hormuz closed or blocked in 2026,medium,"Pre-catalyst context: a 'fully open' Strait of Hormuz announcement signals de-escalation of a prior closure/threat scenario that would have inflated oil's war-risk premium; reopening of the chokehold (roughly 20% of global seaborne oil) normalizes flows and removes that premium, pressuring crude. USO/BNO are the most direct liquid expressions of WTI/Brent. Trump top Truth Social post is read instantly by the whole market."
TRT068,2026-04-17T13:27:06+0000,Trump (Truth Social),"THE STRAIT OF HORMUZ IS COMPLETELY OPEN AND READY FOR BUSINESS AND FULL PASSAGE, BUT THE NAVAL BLOCKADE WILL REMAIN IN FULL FORCE AND EFFECT AS IT PERTAINS TO IRAN, ONLY, UNTIL SUCH TIME AS OUR TRANSACTION WITH IRAN IS 100% COMPLETE. THIS PROCESS SHOULD GO VERY QUICKLY IN THAT MOST OF THE POINTS ARE ALREADY NEGOTIATED. THANK YOU FOR YOUR ATTENTION TO THIS MATTER! PRESIDENT DONALD J.TRUMP",USO;BNO,short,Trump declares Hormuz 'completely open and ready for business' with an Iran deal mostly negotiated -> war-risk premium and supply-disruption fear drain out of crude -> oil-tracking ETFs fall.,10,2,megaphone,US-Iran deal completed in 2026,medium,"Context up to 2026-04-17 implies a recent US-Iran/Hormuz confrontation that spiked crude on closure/blockade fears; a top Trump post announcing the strait is reopened and full passage restored, with most deal points already negotiated and process to move 'very quickly,' signals de-escalation that unwinds the geopolitical risk premium in oil. The residual Iran-only blockade keeps some Iranian barrels offline but the dominant, market-read message is supply normalization through the world's key chokepoint, which is bearish crude. Trading the most direct instruments (broad crude ETFs) over a short horizon matching the 'very quickly' framing."
TRT069,2026-04-17T14:40:05+0000,Trump (Truth Social),Iran has agreed to never close the Strait of Hormuz again. It will no longer be used as a weapon against the World! President DONALD J. TRUMP,USO;BNO,short,Trump announces Iran pledge to keep Strait of Hormuz open -> geopolitical risk premium on crude unwinds -> oil-tracking ETFs fall.,10,2,megaphone,Iran closes Strait of Hormuz in 2026,medium,"A megaphone Trump claim of de-escalation over Hormuz, the chokepoint for ~20% of seaborne oil, removes a war/closure risk premium that had been priced into crude amid prior Middle East tension; the most direct expression is short oil via USO/BNO as the premium bleeds out over days. Stated only from pre-telegraph context of Hormuz being a recurring conflict flashpoint."
TRT070,2026-04-19T12:10:10+0000,Trump (Truth Social),"Iran decided to fire bullets yesterday in the Strait of Hormuz — A Total Violation of our Ceasefire Agreement! Many of them were aimed at a French Ship, and a Freighter from the United Kingdom. That wasn't nice, was it? My Representatives are going to Islamabad, Pakistan — They will be there tomorrow evening, for Negotiations. Iran recently announced that they were closing the Strait, which is strange, because our BLOCKADE has already closed it. They're helping us without knowing, and they are the ones that lose with the closed passage, $500 Million Dollars a day! The United States loses nothing. In fact, many Ships are headed, right now, to the U.S., Texas, Louisiana, and Alaska, to load up, compliments of the IRGC, always wanting to be ""the tough guy!"" We're offering a very fair and reasonable DEAL, and I hope they take it because, if they don't, the United States is going to knock out every single Power Plant, and every single Bridge, in Iran. NO MORE MR. NICE GUY! They'll come down fast, they'll come down easy and, if they don't take the DEAL, it will be my Honor to do what has to be done, which should have been done to Iran, by other Presidents, for the last 47 years. IT'S TIME FOR THE IRAN KILLING MACHINE TO END! President DONALD J. TRUMP",USO;BNO;XLE,long,Trump declares US blockade of Strait of Hormuz plus threatens to bomb Iran's power plants/bridges -> ~20% of global seaborne oil flow disrupted and war-risk premium spikes -> crude oil and energy equities rise.,21,2,megaphone,US military strike on Iran in 2026,medium,"Strait of Hormuz is the world's single most critical oil chokepoint; a stated US blockade, reported gunfire at French/UK ships, and an explicit threat to destroy Iranian power plants and bridges all point to supply disruption and a geopolitical risk premium in crude. The most direct liquid instruments are oil ETFs (USO WTI, BNO Brent) and the energy equity sector (XLE), and Trump's note that tankers are diverting to load US Gulf/Alaska barrels reinforces upside for US oil. Mapped from pre-catalyst chokepoint logic only; megaphone reach since it is a top Trump post the market reads instantly."
TRT071,2026-04-19T19:23:20+0000,Trump (Truth Social),"Today, an Iranian-flagged cargo ship named TOUSKA, nearly 900 feet long and weighing almost as much as an aircraft carrier, tried to get past our Naval Blockade, and it did not go well for them. The U.S. Navy Guided Missile Destroyer USS SPRUANCE intercepted the TOUSKA in the Gulf of Oman, and gave them fair warning to stop. The Iranian crew refused to listen, so our Navy ship stopped them right in their tracks by blowing a hole in the engineroom. Right now, U.S. Marines have custody of the vessel. The TOUSKA is under U.S. Treasury Sanctions because of their prior history of illegal activity. We have full custody of the ship, and are seeing what's on board! President DONALD J. TRUMP",USO;BNO;ITA,long,Trump announces US Navy blockade and forcible boarding of Iranian vessel in Gulf of Oman -> escalation of US-Iran conflict and Strait of Hormuz shipping risk -> oil supply premium and defense demand -> long crude oil and defense ETFs.,21,2,megaphone,US-Iran military conflict in 2026,high,"A top Trump Truth Social post confirming an active US naval blockade of Iran and a kinetic interception (destroyer firing on an Iranian ship, Marines seizing it) in the Gulf of Oman is a major geopolitical escalation near the Strait of Hormuz, a chokepoint for ~20% of global oil flows. Historically such Gulf incidents spike crude risk premia and lift defense names. Oil ETFs (USO/BNO) and defense (ITA) are the most direct liquid expressions; the move is broadcast at maximum reach."
TRT072,2026-04-22T00:36:06+0000,Trump (Truth Social),"Iran doesn't want the Strait of Hormuz closed, they want it open so they can make $500 Million Dollars a day (which is, therefore, what they are losing if it is closed!). They only say they want it closed because I have it totally BLOCKADED (CLOSED!), so they merely want to ""save face."" People approached me four days ago, saying, ""Sir, Iran wants to open up the Strait, immediately."" But if we do that, there can never be a Deal with Iran, unless we blow up the rest of their Country, their leaders included! President DONALD J. TRUMP",USO;BNO;XLE,long,Trump claims US has Strait of Hormuz blockaded amid Iran confrontation -> ~20% of seaborne oil transit at risk of disruption -> crude supply shock -> long oil ETFs and energy equities.,14,2,megaphone,Strait of Hormuz closed or US-Iran military conflict 2026,medium,"Telegraph from the President asserts an active US blockade of the Strait of Hormuz and threatens further strikes on Iran, signaling an ongoing supply-side oil disruption. The Strait carries roughly a fifth of global oil and a third of seaborne crude; any closure historically spikes crude prices. The most direct, liquid expression is long crude (USO/BNO) plus large-cap energy (XLE). Megaphone reach guarantees instant market parsing. Reasoning uses only the geopolitical posture described in the post itself."
TRT073,2026-04-23T12:45:56+0000,Trump (Truth Social),"I have ordered the United States Navy to shoot and kill any boat, small boats though they may be (Their naval ships are ALL, 159 of them, at the bottom of the sea!), that is putting mines in the waters of the Strait of Hormuz. There is to be no hesitation. Additionally, our mine ""sweepers"" are clearing the Strait right now. I am hereby ordering that activity to continue, but at a tripled up level! Thank you for your attention to this matter. President DONALD J. TRUMP",USO;BNO;XLE,long,Trump orders Navy to kill mine-laying boats and triples minesweeping in the Strait of Hormuz -> active military conflict threatens ~20% of seaborne global oil supply -> crude and energy equities spike.,21,2,megaphone,Strait of Hormuz oil disruption / US-Iran military conflict 2026,high,"Pre-catalyst, the post describes an ongoing kinetic engagement in the world's most critical oil chokepoint (mines being laid, Iranian fleet claimed sunk, Navy shoot-on-sight, tripled minesweeping). The most direct, liquid expression of a Hormuz supply-shock is long crude oil (USO/BNO) and US energy equities (XLE). A megaphone Trump post on Hormuz historically front-runs an immediate oil bid. Short horizon because conflict-driven oil spikes are event-driven and mean-revert as risk premium fades."
TRT074,2026-04-23T13:14:44+0000,Trump (Truth Social),"Iran is having a very hard time figuring out who their leader is! They just don't know! The infighting is between the ""Hardliners,"" who have been losing BADLY on the battlefield, and the ""Moderates,"" who are not very moderate at all (but gaining respect!), is CRAZY! We have total control over the Strait of Hormuz. No ship can enter or leave without the approval of the United States Navy. It is ""Sealed up Tight,"" until such time as Iran is able to make a DEAL!!! Thank you for your attention to this matter. President DONALD J. TRUMP",USO;BNO;XLE,long,Trump declares US Navy has 'sealed' the Strait of Hormuz against Iran -> threat to ~20% of seaborne global oil flow raises supply-disruption premium -> crude and energy-equity instruments bid higher.,21,2,megaphone,Strait of Hormuz closed or US-Iran military conflict in 2026,medium,"Pre-telegraph, the Strait of Hormuz is the world's most critical oil chokepoint; any credible blockade/military control narrative from a sitting US President historically injects a geopolitical risk premium into crude. Trump's claim of total naval control plus active 'battlefield' losses for Iran signals escalation. Most direct expression is long oil (USO/BNO) and energy equities (XLE). Top Trump Truth Social post = instant broad market read. Short horizon because such headline-driven premia decay or resolve quickly."
TRT075,2026-04-28T13:29:20+0000,Trump (Truth Social),"Iran has just informed us that they are in a ""State of Collapse."" They want us to ""Open the Hormuz Strait,"" as soon as possible, as they try to figure out their leadership situation (Which I believe they will be able to do!). Thank you for your attention to this matter! President DONALD J. TRUMP",USO;BNO,short,Trump signals Iran capitulating and asking to reopen the Strait of Hormuz -> de-escalation removes the war/supply-disruption risk premium on crude -> oil-tracking ETFs fall.,14,2,megaphone,Strait of Hormuz reopened 2026,medium,"The post implies the Strait of Hormuz had been closed amid an Iran conflict that drove a crude supply-risk premium; Iran reportedly in 'collapse' and requesting reopening signals de-escalation, which historically unwinds the oil spike. Most direct expression is shorting oil-price ETFs (WTI/Brent). Top Trump Truth Social post = instantly read by the whole market."
TRT076,2026-04-30T18:30:28+0000,Trump (Truth Social),"In Honor of the King and Queen of the United Kingdom, who have just left the White House, soon headed back to their wonderful Country, I will be removing the Tariffs and Restrictions on Whiskey having to do with Scotland's ability to work with the Commonwealth of Kentucky on Whiskey and Bourbon, two very important Industries within Scotland and Kentucky. People have wanted to do this for a long time, in that there had been great Inter-Country Trade, especially having to do with the Wooden Barrels used. The King and Queen got me to do something that nobody else was able to do, without hardly even asking! A wonderful Honor to have them both in the U.S.A. President DONALD J. TRUMP",BF.B;DEO,long,"Trump announces removal of whiskey/bourbon tariffs and restrictions between Scotland and Kentucky -> lower trade costs and improved export demand for Scotch and Kentucky bourbon makers -> bullish for the two dominant listed spirits producers (Brown-Forman in Kentucky, Diageo in Scotch).",30,2,megaphone,,medium,"A top Trump Truth Social post announcing removal of tariffs/restrictions on transatlantic whiskey trade directly benefits the most exposed listed spirits names: Brown-Forman (Kentucky bourbon, Woodford/Jack Daniel's) and Diageo (Johnnie Walker Scotch, plus US bourbon brands). Tariff relief lowers input/export costs (notably wooden barrel trade cited) and signals friendlier US-UK spirits trade. Mechanism is fairly direct (one to two hops). No clean upstream market-resolvable public event distinct from the announcement itself, so polymarket query is null."
TRT077,2026-05-01T15:50:28+0000,Trump (Truth Social),"I am pleased to announce that, based on the fact the European Union is not complying with our fully agreed to Trade Deal, next week I will be increasing Tariffs charged to the European Union for Cars and Trucks coming into the United States. The Tariff will be increased to 25%. It is fully understood and agreed that, if they produce Cars and Trucks in U.S.A. Plants, there will be NO TARIFF. Many Automobile and Truck Plants are currently under construction, with over 100 Billion Dollars being invested, A RECORD in the History of Car and Truck Manufacturing. These Plants, staffed with American Workers, will be opening soon — There has never been anything like what is happening in America today! Thank you for your attention to this matter. President DONALD J. TRUMP",GM;F,long,Trump announces 25% tariff on EU-built cars/trucks with explicit exemption for US-produced vehicles -> domestic-heavy automakers gain price/protection advantage over EU imports.,30,1,megaphone,Trump tariffs on EU cars in 2026,medium,"A direct import tariff that explicitly exempts US-built vehicles structurally favors automakers with large domestic footprints (GM, Ford) versus EU exporters; top Trump Truth Social post is read instantly market-wide, and the 'next week' timing implies a near-term catalyst. Mapped pre-catalyst only on the announced tariff mechanics."
TRT078,2026-05-01T15:54:34+0000,Trump (Truth Social),"WE JUST DELIVERED A HUGE WIN for our Great Fishermen and Anglers in FLORIDA, GEORGIA, SOUTH CAROLINA, and NORTH CAROLINA! We have just officially approved ALL STATE PERMITS for the 2026 Red Snapper recreational season. For years, our Great Fishermen have been punished with VERY short Federal fishing seasons despite RECORD HIGH fish populations and the States begging to oversee these permits. The incompetent Biden Administration tried to SHUT DOWN THE OCEANS to our Fishermen, entirely. We love and respect our Fishermen and, unlike the Democrats, will only do good for them. To all those who fish ""Red Snapper"" — TRUMP and NOAA are delivering for you. ENJOY!! President DONALD J. TRUMP",BC;HZO;JOUT;SPWH,long,"Trump approves longer state-run 2026 Red Snapper recreational season in SE states -> more recreational fishing days/trips -> incremental demand for boats, tackle and marine/outdoor retail.",21,3,broad,,low,"Pre-catalyst, recreational red snapper seasons in the South Atlantic had been very short under federal management, a long-standing grievance for FL/GA/SC/NC anglers. A longer approved season nominally boosts fishing activity, benefiting boat makers (Brunswick), boat retailers (MarineMax), fishing-gear makers (Johnson Outdoors) and outdoor/tackle retail (Sportsman's Warehouse). Effect is regional, diffuse and small relative to these national companies' revenue, so confidence is low and the chain is several hops with no clean resolvable upstream market event."
